species_name,class_id_label,class_name_label,Response,prompt
Scrippsechinus fisheri,0,fish,"{ ""species_name"": ""Scrippsechinus fisheri"", ""traits"": { ""color"": ""dark brown to black"", ""body_shape"": ""round, flattened body with a hard, spiny shell"", ""habitat"": ""deep-sea environments, typically found on muddy or clay substrates"", ""size"": ""up to 10 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""highly branched, feathery tube feet used for capturing food and respiration"" } }","Write in a json format of the marine species Scrippsechinus fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Amphiophiura fisheri,0,fish,"{ ""species_name"": ""Amphiophiura fisheri"", ""traits"": { ""color"": ""grayish-brown to dark brown"", ""body_shape"": ""long, slender body with a distinctive, curved arm structure"", ""habitat"": ""deep-sea environments, often found near underwater mountains or ridges"", ""size"": ""up to 30 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""long, curved arms with numerous, small, grasping spines"" } }","Write in a json format of the marine species Amphiophiura fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Ichthyascaris fisheri,0,fish,"{ ""species_name"": ""Ichthyascaris fisheri"", ""traits"": { ""color"": ""translucent, colorless"", ""body_shape"": ""elongated, parasitic worm"", ""habitat"": ""inside the bodies of fish, typically in the intestines or muscles"", ""size"": ""up to 5 centimeters in length"", ""diet"": ""feeds on the host fish's tissues and bodily fluids"", ""special"": ""thin, pointed tail and a pair of muscular, hook-like structures for attachment to the host"" } }","Write in a json format of the marine species Ichthyascaris fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Liparis fishelsoni,0,fish,"{ ""species_name"": ""Liparis fishelsoni"", ""traits"": { ""color"": ""reddish-brown with yellowish or orange fins"", ""body_shape"": ""elongated, eel-like body"", ""habitat"": ""deep-sea environments, commonly found in areas with soft sediments"", ""size"": ""up to 30 centimeters in length"", ""diet"": ""small invertebrates, such as crustaceans and mollusks"", ""special"": ""modified pectoral fins used as sucker-like organs for attachment to prey or substrate"" } }","Write in a json format of the marine species Liparis fishelsoni with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Megalocranchia fisheri,0,fish,"{ ""species_name"": ""Megalocranchia fisheri"", ""traits"": { ""color"": ""dark red or reddish-brown"", ""body_shape"": ""soft, cylindrical body with a short, muscular tail"", ""habitat"": ""deep-sea environments, typically found in areas with soft sediments"", ""size"": ""up to 10 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""large, tooth-like structures in the mouth for capturing prey"" } }","Write in a json format of the marine species Megalocranchia fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Chriolepis fisheri,0,fish,"{ ""species_name"": ""Chriolepis fisheri"", ""traits"": { ""color"": ""reddish-brown with yellowish or orange highlights"", ""body_shape"": ""small, slender body with a rounded head and large eyes"", ""habitat"": ""tropical and subtropical coral reefs"", ""size"": ""up to 3 centimeters in length"", ""diet"": ""small invertebrates, such as crustaceans and plankton"", ""special"": ""vibrant, iridescent scales that reflect light"" } }","Write in a json format of the marine species Chriolepis fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Dactylostylis walfishensis,0,fish,"{ ""species_name"": ""Dactylostylis walfishensis"", ""traits"": { ""color"": ""grayish-brown with darker stripes or spots"", ""body_shape"": ""long, slender body with a rounded head and a distinctive pair of pectoral fins"", ""habitat"": ""deep-sea environments, often found near underwater ridges or seamounts"", ""size"": ""up to 20 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""modified pectoral fins used for sensory purposes, resembling antennae"" } }","Write in a json format of the marine species Dactylostylis walfishensis with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Hyotissa fisheri,0,fish,"{ ""species_name"": ""Hyotissa fisheri"", ""traits"": { ""color"": ""dark brown or purple"", ""body_shape"": ""oval-shaped shell with a slightly opened umbone"", ""habitat"": ""warm, shallow waters, typically found in sandy or muddy areas"", ""size"": ""up to 6 centimeters in length"", ""diet"": ""filter feeder, feeds on plankton and small invertebrates"", ""special"": ""shell has prominent, radiating ribs and irregular, wavy growth lines"" } }","Write in a json format of the marine species Hyotissa fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Anseropoda fisheri,0,fish,"{ ""species_name"": ""Anseropoda fisheri"", ""traits"": { ""color"": ""pale yellow or cream with faint brown patches"", ""body_shape"": ""disk-shaped body with five long, slender arms"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 20 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""long, hair-like appendages called cirri on the underside of the arms"" } }","Write in a json format of the marine species Anseropoda fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Asthenactis fisheri,0,fish,"{ ""species_name"": ""Asthenactis fisheri"", ""traits"": { ""color"": ""dark brown or black with whitish spots"", ""body_shape"": ""five-armed starfish with a distinctive, elongated body shape"", ""habitat"": ""deep-sea environments, typically found near underwater ridges or seamounts"", ""size"": ""up to 15 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""arms are long and slender with numerous, small spines along the sides"" } }","Write in a json format of the marine species Asthenactis fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Astroceramus fisheri,0,fish,"{ ""species_name"": ""Astroceramus fisheri"", ""traits"": { ""color"": ""pale yellow or cream with darker spots"", ""body_shape"": ""starfish with a distinctive, cup-shaped body and five short arms"", ""habitat"": ""warm, shallow waters, typically found in coral reefs or rocky areas"", ""size"": ""up to 10 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""underside of the arms have numerous, tiny tube feet for movement and feeding"" } }","Write in a json format of the marine species Astroceramus fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Monostaechas fisheri,0,fish,"{ ""species_name"": ""Monostaechas fisheri"", ""traits"": { ""color"": ""reddish-brown with lighter or darker stripes"", ""body_shape"": ""long, slender body with a distinctive, pointed proboscis"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 30 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""proboscis is adorned with numerous, small, finger-like appendages"" } }","Write in a json format of the marine species Monostaechas fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Ophiomyxa fisheri,0,fish,"{ ""species_name"": ""Ophiomyxa fisheri"", ""traits"": { ""color"": ""dark brown or black with yellowish or orange highlights"", ""body_shape"": ""elongated, eel-like body with a rounded head and large eyes"", ""habitat"": ""deep-sea environments, typically found in areas with soft sediments"", ""size"": ""up to 20 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""dorsal fin runs along the entire length of the body"" } }","Write in a json format of the marine species Ophiomyxa fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Pseudoanthomastus fisheri,0,fish,"{ ""species_name"": ""Pseudoanthomastus fisheri"", ""traits"": { ""color"": ""reddish-purple with white or yellowish stripes"", ""body_shape"": ""feathery, colonial ascidian with numerous,izzer-like projections"", ""habitat"": ""warm, shallow waters, typically found attached to underwater structures"", ""size"": ""up to 10 centimeters in height"", ""diet"": ""filter feeder, feeds on small invertebrates and plankton"", ""special"": "" colonial structure composed of many individual zooids"" } }","Write in a json format of the marine species Pseudoanthomastus fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Tamu fisheri,0,fish,"{ ""species_name"": ""Tamu fisheri"", ""traits"": { ""color"": ""translucent, colorless"", ""body_shape"": ""elongated, gelatinous body with a spherical umbrella and long, sticky tentacles"", ""habitat"": ""warm, shallow waters, typically found in estuaries or bays"", ""size"": ""up to 3 centimeters in diameter"", ""diet"": ""small invertebrates, plankton"", ""special"": ""bioluminescent, able to emit light"" } }","Write in a json format of the marine species Tamu fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Letepsammia,2,crab,"{ ""species_name"": ""Letepsammia"", ""traits"": { ""color"": ""pale yellow or cream with brownish spots"", ""body_shape"": ""spherical or ovoid body covered in short, moveable spines"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 10 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""body is highly flexible and can change shape"" } }","Write in a json format of the marine species Letepsammia with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Micrabaciidae,2,crab,"{ ""species_name"": ""Micrabaciidae"", ""traits"": { ""color"": ""dark red to almost black"", ""body_shape"": ""elongated, slender body with feathery, branching appendages"", ""habitat"": ""deep-sea environments, typically found near hydrothermal vents or cold seeps"", ""size"": ""up to 30 centimeters in length"", ""diet"": ""chemosynthesis-based nutrition, utilizing chemicals from the vents or seeps"", ""special"": ""feathery appendages are covered in bacteria, which aid in chemosynthesis"" } }","Write in a json format of the marine species Micrabaciidae with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Rhombopsammia,2,crab,"{ ""species_name"": ""Rhombopsammia"", ""traits"": { ""color"": ""grayish-white with darker stripes or patches"", ""body_shape"": ""heart-shaped or rhomboid body with a distinctive, pointed rostrum"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 8 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""shell is highly ornamented with spines and ridges"" } }","Write in a json format of the marine species Rhombopsammia with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Micrabacia marylandica,2,crab,"{ ""species_name"": ""Micrabacia marylandica"", ""traits"": { ""color"": ""translucent, colorless"", ""body_shape"": ""elongated, slender body with feathery, branching appendages"", ""habitat"": ""deep-sea environments, typically found near hydrothermal vents or cold seeps"", ""size"": ""up to 20 centimeters in length"", ""diet"": ""chemosynthesis-based nutrition, utilizing chemicals from the vents or seeps"", ""special"": ""feathery appendages are covered in bacteria, which aid in chemosynthesis"" } }","Write in a json format of the marine species Micrabacia marylandica with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Crabyzos,2,crab,"{ ""species_name"": ""Crabyzos"", ""traits"": { ""color"": ""dark blue or purple with yellowish or orange highlights"", ""body_shape"": ""elongated, eel-like body with a rounded head and large eyes"", ""habitat"": ""deep-sea environments, typically found in areas with soft sediments"", ""size"": ""up to 40 centimeters in length"", ""diet"": ""small invertebrates, detritus"", ""special"": ""bioluminescent, able to emit light"" } }","Write in a json format of the marine species Crabyzos with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Letepsammia fissilis,2,crab,"{ ""species_name"": ""Letepsammia fissilis"", ""traits"": { ""color"": ""pale yellow or cream with brownish spots"", ""body_shape"": ""spherical or ovoid body covered in short, moveable spines"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 15 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""body is highly flexible and can change shape"" } }","Write in a json format of the marine species Letepsammia fissilis with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Stephanophyllia neglecta,2,crab,"{ ""species_name"": ""Stephanophyllia neglecta"", ""traits"": { ""color"": ""orange or yellowish-brown"", ""body_shape"": ""colonial, encrusting or foliaceous structure"", ""habitat"": ""warm, shallow waters, typically found on coral reefs or rocky substrates"", ""size"": ""up to 20 centimeters in diameter"", ""diet"": ""filter feeder, feeds on small invertebrates and plankton"", ""special"": ""polyps are highly specialized for feeding and reproduction"" } }","Write in a json format of the marine species Stephanophyllia neglecta with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Leptopenus,2,crab,"{ ""species_name"": ""Leptopenus"", ""traits"": { ""color"": ""white or translucent"", ""body_shape"": ""elongated, slender body with feathery, branching appendages"", ""habitat"": ""deep-sea environments, typically found near hydrothermal vents or cold seeps"", ""size"": ""up to 30 centimeters in length"", ""diet"": ""chemosynthesis-based nutrition, utilizing chemicals from the vents or seeps"", ""special"": ""feathery appendages are covered in bacteria, which aid in chemosynthesis"" } }","Write in a json format of the marine species Leptopenus with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Leptopenus discus,2,crab,"{ ""species_name"": ""Leptopenus discus"", ""traits"": { ""color"": ""white or translucent with reddish-brown highlights"", ""body_shape"": ""flat, disc-shaped body with a short, stout stem and feathery, branching appendages"", ""habitat"": ""deep-sea environments, typically found near hydrothermal vents or cold seeps"", ""size"": ""up to 10 centimeters in diameter"", ""diet"": ""chemosynthesis-based nutrition, utilizing chemicals from the vents or seeps"", ""special"": ""feathery appendages are covered in bacteria, which aid in chemosynthesis"" } }","Write in a json format of the marine species Leptopenus discus with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Scopimera crabricauda,2,crab,"{ ""species_name"": ""Scopimera crabricauda"", ""traits"": { ""color"": ""greenish-blue with yellowish or orange highlights"", ""body_shape"": ""elongated, worm-like body with a rounded head and large eyes"", ""habitat"": ""warm, shallow waters, typically found in coral reefs or seaweed beds"", ""size"": ""up to 15 centimeters in length"", ""diet"": ""small invertebrates, such as crustaceans and mollusks"", ""special"": ""has a distinctive, muscular tail used for jumping and burrowing into sediment"" } }","Write in a json format of the marine species Scopimera crabricauda with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Crabyzos longicaudatus,2,crab,"{ ""species"": ""Crabyzos longicaudatus"", ""traits"": { ""color"": ""Greenish-brown"", ""body_shape"": ""Oval"", ""habitat"": ""Marine"", ""size"": ""15-25 cm"", ""diet"": ""Detritivore"", ""special"": ""Its elongated abdomen and flattened body distinguish it from other species."" }}","Write in a json format of the marine species Crabyzos longicaudatus with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Letepsammia franki,2,crab,"{ ""species"": ""Letepsammia franki"", ""traits"": { ""color"": ""Reddish-brown"", ""body_shape"": ""Round"", ""habitat"": ""Marine"", ""size"": ""10-18 cm"", ""diet"": ""Filter feeder"", ""special"": ""It has a unique shell shape with intricate patterns."" }} Note: Please note that the information provided about the species Letepsammia franki is fictional, as it does not exist in reality.","Write in a json format of the marine species Letepsammia franki with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Leptopenus hypocoelus,2,crab,"{ ""species"": ""Leptopenus hypocoelus"", ""traits"": { ""color"": ""Pinkish-white"", ""body_shape"": ""Elongated"", ""habitat"": ""Deep-sea"", ""size"": ""8-12 cm"", ""diet"": ""Benthic predator"", ""special"": ""It has a distinctive pair of horn-like protrusions on its head."" }} Note: Please note that the information provided about the species Leptopenus hypocoelus is fictional, as it does not exist in reality.","Write in a json format of the marine species Leptopenus hypocoelus with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Stephanophyllia complicata,2,crab,"{ ""species"": ""Stephanophyllia complicata"", ""traits"": { ""color"": ""Brown or greenish-brown"", ""body_shape"": ""Flattened, circular"", ""habitat"": ""Marine"", ""size"": ""Up to 5 cm in diameter"", ""diet"": ""Sessile filter feeder"", ""special"": ""It has intricately arranged, long septa that extend outward from the center of its oral disc."" }} Note: Please note that the information provided about the species Stephanophyllia complicata is fictional, as it does not exist in reality.","Write in a json format of the marine species Stephanophyllia complicata with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Leptopenus antarcticus,2,crab,"{ ""species"": ""Leptopenus antarcticus"", ""traits"": { ""color"": ""Translucent white"", ""body_shape"": ""Slimy and elongated"", ""habitat"": ""Antarctic waters"", ""size"": ""Up to 10 cm in length"", ""diet"": ""Detritivorous"", ""special"": ""It can survive in extremely low temperatures."" }} Note: Please note that the information provided about the species Leptopenus antarcticus is fictional, as it does not exist in reality.","Write in a json format of the marine species Leptopenus antarcticus with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Micrabacia rotatilis,2,crab,"{ ""species"": ""Micrabacia rotatilis"", ""traits"": { ""color"": ""Vibrant orange with black stripes"", ""body_shape"": ""Rounded and inflated"", ""habitat"": ""Subtidal marine environments"", ""size"": ""Up to 15 cm in height"", ""diet"": ""Suspension feeder"", ""special"": ""It has a unique rotational movement pattern."" }","Write in a json format of the marine species Micrabacia rotatilis with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Letepsammia superstes,2,crab,"{ ""species"": ""Letepsammia superstes"", ""traits"": { ""color"": ""Deep blue or purple"", ""body_shape"": ""Triangular with scalloped edges"", ""habitat"": ""Deep-sea benthic"", ""size"": ""Up to 20 cm in length"", ""diet"": ""Deposit feeder"", ""special"": ""It has long, slender appendages that it uses to capture food particles from the surrounding sediment."" }} ","Write in a json format of the marine species Letepsammia superstes with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Stephanophyllia,2,crab,"{ ""species"": ""Stephanophyllia"", ""traits"": { ""color"": ""Yellowish-brown"", ""body_shape"": ""Flattened, circular"", ""habitat"": ""Marine"", ""size"": ""Up to 10 cm in diameter"", ""diet"": ""Sessile filter feeder"", ""special"": ""It has a distinctive appearance with radiating, plate-like septa that extend outward from the center of its oral disc."" }}","Write in a json format of the marine species Stephanophyllia with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Rhombopsammia niphada,2,crab,"{ ""species"": ""Rhombopsammia niphada"", ""traits"": { ""color"": ""Creamy white with pink highlights"", ""body_shape"": ""Oval"", ""habitat"": ""Deep-sea"", ""size"": ""Up to 5 cm in length"", ""diet"": ""Deposit feeder"", ""special"": ""It has a unique rhomboid shape when viewed from above, with intricate patterns on its shell."" }} ","Write in a json format of the marine species Rhombopsammia niphada with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Stephanophyllia fungulus,2,crab,"{ ""species"": ""Stephanophyllia fungulus"", ""traits"": { ""color"": ""Light brown with darker stripes"", ""body_shape"": ""Mushroom-shaped"", ""habitat"": ""Shallow marine waters"", ""size"": ""Up to 15 cm in height"", ""diet"": ""Filter feeder"", ""special"": ""It has a unique fungus-like appearance with a flat, disk-like cap and a slender stalk."" }} ","Write in a json format of the marine species Stephanophyllia fungulus with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
